name,age,gender,occupation,location,relationship_status,birthday_season,birthday_day,heart_level_max,loved_gifts,liked_gifts,neutral_gifts,disliked_gifts,hated_gifts,schedule_location_morning,schedule_location_afternoon,schedule_location_evening,marriage_candidate,personality_type,hobby
Abigail,22,Female,Student,Pelican Town,Single,Fall,13,10,"Amethyst;Blackberry Cobbler;Chocolate Cake;Pufferfish;Pumpkin;Spicy Eel","Universal Loves except Prismatic Shard","Most Artisan Goods;Most Cooked Dishes;Most Flowers","Clay;Daffodil;Dandelion;Hazelnut;Leek;Snow Yam;Spring Onion;Wild Horseradish","Cactus Fruit;Copper Ore;Gold Ore;Iridium Ore;Iron Ore;Oil;Quartz;Salmonberry;Stone",Pierre's Shop,Cemetery,Home,Yes,Adventurous,Gaming/Adventure
Alex,24,Male,Athlete,Pelican Town,Single,Summer,13,10,"Complete Breakfast;Salmon Dinner","Universal Loves","Most Artisan Goods;Most Eggs;Most Milk","Clay;Daffodil;Dandelion;Hazelnut;Leek;Snow Yam;Spring Onion;Wild Horseradish","Oil;Pickles;Salmonberry;Trash;Algae","Dusty's Dog House",Beach,Dog House,Yes,Athletic,Sports/Fitness
Caroline,40,Female,Shopkeeper,Pelican Town,Married,Winter,7,10,"Fish Taco;Summer Spangle","Universal Loves","Most Artisan Goods;Most Flowers;Most Gems","Clay;Copper Ore;Iron Ore","Holly;Nautilus Shell;Oil;Salmonberry;Trash",Pierre's Shop,Garden,Pierre's Shop,No,Nurturing,Gardening
Clint,45,Male,Blacksmith,Pelican Town,Single,Winter,26,10,"Amethyst;Aquamarine;Artichoke Dip;Emerald;Fudge;Gold Bar;Iridium Bar;Jade;Ruby;Topaz","Universal Loves","Most Gems;Most Minerals","Clay;Daffodil;Dandelion;Hazelnut;Leek;Snow Yam;Spring Onion;Wild Horseradish","Salmonberry;Cactus Fruit","Blacksmith Shop","Blacksmith Shop","Blacksmith Shop",No,Gruff,Metalwork
Demetrius,48,Male,Scientist,Mountain,Married,Summer,19,10,"Bean Hotpot;Ice Cream;Rice Pudding;Strawberry","Universal Loves","Most Artisan Goods;Most Eggs;Most Fruit;Most Vegetables","Clay;Copper Ore;Iron Ore","Algae;Holly;Mayonnaise;Oil;Salmonberry;Trash",Laboratory,Laboratory,Home,No,Analytical,Science/Research
Elliott,35,Male,Writer,Beach,Single,Fall,5,10,"Crab Cakes;Duck Feather;Lobster;Pomegranate;Tom Kah Soup","Universal Loves","Most Artisan Goods;Most Fruits except Salmonberry","Bread;Clay;Daffodil;Dandelion","Amaranth;Holly;Maki Roll;Pizza;Salmonberry;Salmon Dinner",Cabin on Beach,Library/Museum,Stardrop Saloon,Yes,Romantic,Writing/Poetry
Emily,27,Female,Tailor,Pelican Town,Single,Spring,27,10,"Amethyst;Aquamarine;Cloth;Emerald;Jade;Ruby;Survival Burger;Topaz;Wool","Universal Loves","Most Artisan Goods;Most Flowers;Most Fruits;Most Gems","Clay;Daffodil;Dandelion;Hazelnut;Leek;Snow Yam;Spring Onion;Wild Horseradish","Fish;Ice Cream;Mayonnaise;Mead;Oil;Rice Pudding;Salmonberry",Home,Desert/Ginger Island,Stardrop Saloon,Yes,Spiritual,Crystals/Fashion
Evelyn,78,Female,Grandmother,Pelican Town,Widowed,Winter,20,10,"Beet;Chocolate Cake;Diamond;Fairy Rose;Stuffing;Tulip Bulb","Universal Loves","Most Artisan Goods;Most Cooked Dishes;Most Flowers","Clay;Copper Ore;Gold Ore;Iron Ore","Garlic;Holly;Oil;Salmonberry;Wild Horseradish",Garden,Garden,Home,No,Grandmotherly,Cooking/Baking
George,78,Male,Retired,Pelican Town,Married,Fall,24,10,"Fried Mushroom;Leek","Universal Loves","Most Artisan Goods except Oil and Mayonnaise","Clay;Copper Ore;Daffodil;Dandelion;Gold Ore;Iron Ore","Dandelion;Holly;Oil;Salmonberry;Wild Horseradish",Home,Home,Home,No,Cantankerous,TV/Complaining
Gus,45,Male,Chef,Pelican Town,Single,Summer,8,10,"Diamond;Escargot;Fish Taco;Orange;Tropical Curry","Universal Loves","Most Artisan Goods;Most Cooked Dishes;Most Eggs;Most Fruits;Most Vegetables","Clay;Copper Ore;Gold Ore;Iron Ore","Holly;Mayonnaise;Oil;Salmonberry;Trash",Stardrop Saloon,Stardrop Saloon,Stardrop Saloon,No,Friendly,Cooking/Hospitality
